eligibility_datetime_utc,item_id,eligibility,message
2025-06-04 08:50:07,29,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,270,True,
2025-06-04 08:50:07,31,True,
2025-06-04 08:50:07,26,True,
2025-06-04 08:50:07,25,True,
2025-06-04 08:50:07,34,True,
2025-06-04 08:50:07,28,True,
2025-06-04 08:50:07,32,True,
2025-06-04 08:50:07,33,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,27,True,
2025-06-04 08:50:07,23,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,24,True,
2025-06-04 08:50:07,35,True,
2025-06-04 08:50:07,30,True,
2025-06-04 08:50:07,36,True,
2025-06-04 08:50:07,19,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,15,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,16,True,
2025-06-04 08:50:07,18,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,17,True,
2025-06-04 08:50:07,21,True,
2025-06-04 08:50:07,20,True,
2025-06-04 08:50:07,22,True,
2025-06-04 08:50:07,13,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,38,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,5,True,
2025-06-04 08:50:07,7,True,
2025-06-04 08:50:07,42,True,
2025-06-04 08:50:07,14,True,
2025-06-04 08:50:07,10,True,
2025-06-04 08:50:07,6,True,
2025-06-04 08:50:07,271,True,
2025-06-04 08:50:07,4,True,
2025-06-04 08:50:07,40,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,8,True,
2025-06-04 08:50:07,39,True,
2025-06-04 08:50:07,9,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,3,True,
2025-06-04 08:50:07,43,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,11,True,
2025-06-04 08:50:07,2,True,
2025-06-04 08:50:07,41,True,
2025-06-04 08:50:07,44,True,
2025-06-04 08:50:07,1,True,
2025-06-04 08:50:07,12,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,0,True,
2025-06-04 08:50:07,37,True,
2025-06-04 08:50:07,49,True,
2025-06-04 08:50:07,52,True,
2025-06-04 08:50:07,50,True,
2025-06-04 08:50:07,46,True,
2025-06-04 08:50:07,48,True,
2025-06-04 08:50:07,45,True,
2025-06-04 08:50:07,47,True,
2025-06-04 08:50:07,51,True,
2025-06-04 08:50:07,272,True,
2025-06-04 08:50:07,273,True,
2025-06-04 08:50:07,274,True,
2025-06-04 08:50:07,275,True,
2025-06-04 08:50:07,56,True,
2025-06-04 08:50:07,55,True,
2025-06-04 08:50:07,53,True,
2025-06-04 08:50:07,54,True,
2025-06-04 08:50:07,276,True,
2025-06-04 08:50:07,277,True,
2025-06-04 08:50:07,278,True,
2025-06-04 08:50:07,279,True,
2025-06-04 08:50:07,280,True,
2025-06-04 08:50:07,62,True,
2025-06-04 08:50:07,60,True,
2025-06-04 08:50:07,63,True,
2025-06-04 08:50:07,61,True,
2025-06-04 08:50:07,57,True,
2025-06-04 08:50:07,281,True,
2025-06-04 08:50:07,58,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,59,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,64,True,
2025-06-04 08:50:07,68,True,
2025-06-04 08:50:07,65,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,67,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,66,True,
2025-06-04 08:50:07,154,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,152,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,282,True,
2025-06-04 08:50:07,153,False,This product's cost to Amazon does not allow us to meet customers’ pricing expectations. Consider reducing the cost. It may take a few weeks for your product to become eligible to advertise after you reduce the cost.
2025-06-04 08:50:07,283,True,
2025-06-04 08:50:07,83,True,
2025-06-04 08:50:07,75,True,
2025-06-04 08:50:07,81,True,
2025-06-04 08:50:07,284,True,
2025-06-04 08:50:07,285,True,
